prng_id,sequence_id,seed,adjacent_correlation,autocorr_lag1,autocorr_lag2,autocorr_lag3,diff_entropy,diff_mod8_entropy,diff_std,js_pair_mod125_entropy,js_pair_mod8_lag2_diag,js_pair_mod8_row_entropy_mean,js_pair_mod8_row_entropy_std,lane_mod125_autocorr,lane_mod8_autocorr,lane_mod8_diagonal_dominance,lane_mod8_transition_entropy,mod2_bias,mod4_bias,mod8_bias,monotonic_ratio,permutation_chi2_len3,permutation_entropy_delta_mod8,permutation_entropy_len3,permutation_entropy_len4,run_max,run_mean,run_std,small_delta_ratio,spacing_entropy_mod8,spacing_mean_mod8,spacing_std_mod8
philox4x32_hybrid,philox4x32_hybrid_001,204522253,-0.004102689303995665,-0.004102689303995665,-0.004626147875259734,-0.004175456215860312,0.9731699510130977,2.9998595146628984,407.88580427504564,6.79503392678108,0.12511233703468025,2.997741169038615,0.0004829236389409729,0.0046215435679355195,0.005738497744886151,0.12319755730547324,2.9977411690386147,0.0165,0.027,0.0396,0.49859789684526545,2.187818781878188,2.5755849963766466,2.584883562266085,4.584549162074438,7,1.496819100366739,0.7383612719015958,0.18760938046902345,2.2369304016193157,7.996748699479792,7.493610686025716
philox4x32_hybrid,philox4x32_hybrid_002,306783379,0.009633271432640072,0.009633271432640072,-0.014445637600474247,-0.005657769974755508,0.9747434220212345,2.9998327266141835,406.887935805402,6.797167892113797,0.1266511293962199,2.9983827411581587,0.00022041292384943504,9.044188548505756e-05,-0.01956832960919329,0.12122866762489654,2.9983827411581583,0.0137,0.0226,0.0428,0.49884896406765844,2.1158115811581157,2.5768757243080813,2.5848861665031104,4.583842292964966,6,1.5067430121298877,0.7426095099257948,0.1911095554777739,2.9047120874746253,7.998399359743898,7.3944890848865406
philox4x32_hybrid,philox4x32_hybrid_003,409044505,0.0006612948813097231,0.0006612948813097231,0.004939939132436725,0.002834716923594658,0.9700115810366022,2.999797569879876,407.1123361800657,6.796727870692607,0.1262517897306905,2.9976822806955807,0.0007967823982115028,0.0018953917906332756,0.005049604894683859,0.1241044322058314,2.9976822806955807,0.0064,0.0162,0.0316,0.5015768133353332,1.5055505550555055,2.5750591670697496,2.5849083093127536,4.584515488833414,7,1.4999624990624765,0.749571741088597,0.18995949797489875,2.6005369109346983,7.994947979191677,7.428169058760115
philox4x32_hybrid,philox4x32_hybrid_004,511305631,-0.000275599104356349,-0.000275599104356349,-0.01075250733288554,-0.004037946805025872,0.9791595306229878,2.9998339926139783,409.05031496295385,6.798390151618374,0.12485451451617244,2.997704953208113,0.001237035194370841,-0.0011126100895766766,0.0036692054836559925,0.12559496888386942,2.997704953208113,0.0028,0.02,0.0276,0.5006006006005982,0.42244224422442245,2.5752524730148307,2.5849472517121934,4.584533967910386,7,1.4969311377245509,0.7423196658286451,0.19090954547727387,3.169655315432582,7.998899559823929,7.4715144516219825
philox4x32_hybrid,philox4x32_hybrid_005,613566757,0.017890446605683213,0.017890446605683213,0.001056172960251726,-0.00010583096646646164,0.9754874885675197,2.999702835506636,402.5949034075672,6.7960498311616995,0.127763829036985,2.9978615677314195,0.001036723113122057,-0.006443025302674803,0.005443264803348869,0.12531136040603472,2.9978615677314195,0.0024,0.017,0.0624,0.4978729793303614,0.9036903690369037,2.573973233835516,2.5849299991127688,4.584013715217615,6,1.500750412727,0.743044817471247,0.19565978298914946,2.3842683781821523,7.998199279711884,7.559970768588477
philox4x32_hybrid,philox4x32_hybrid_006,715827883,-0.002427865466570368,-0.002427865466570368,-0.005408584315274326,-0.00235218907643463,0.9704741046277493,2.999757190020736,408.45449473913806,6.799006174684446,0.12828886445233145,2.997874311259624,0.001143624478390794,-0.005042087047469138,-0.0019417348720824408,0.12803797729485128,2.997874311259624,0.0114,0.0162,0.0324,0.5032038446135337,4.420642064206421,2.573994862463577,2.584803273113082,4.583846658415945,7,1.499512634025643,0.7473051147637662,0.18740937046852343,3.098209578210023,7.998199279711884,7.5804077589150864
philox4x32_hybrid,philox4x32_hybrid_007,818089009,0.003735233961574702,0.003735233961574702,-0.004125339479785699,-0.006834641422362479,0.969978245112565,2.9998120511136683,407.3008892082301,6.796592327057622,0.12301954592949271,2.99792646962886,0.0010285179291956593,-0.0038627396493224834,0.0027837803425815816,0.12661326551096974,2.99792646962886,0.0085,0.011,0.0324,0.5020267227143047,2.883288328832884,2.575779466268778,2.584858640682678,4.584457055024639,7,1.5021030494216614,0.7529642545238592,0.1926596329816491,2.992672552548459,7.998699479791917,7.52169054407186
philox4x32_hybrid,philox4x32_hybrid_008,920350135,0.0009617908561836165,0.0009617908561836165,0.000518306939956438,-0.005019846568890599,0.9755036165970364,2.999823701521224,406.7759456657627,6.796460421650638,0.1258651639019488,2.9985383274133057,0.0005848213265079897,0.001912731682965018,-0.002641541535917013,0.12390000318942399,2.9985383274133053,0.0067,0.0104,0.028,0.49847324423086303,0.6798679867986799,2.5742173508621033,2.5849380060775893,4.584377024892963,7,1.5015391545911856,0.7473816671272455,0.19165958297914895,2.749203899603844,7.997599039615847,7.44694414028375
philox4x32_hybrid,philox4x32_hybrid_009,1022611261,0.006918228734488808,0.006918228734488808,-0.007109022181936093,-0.011949959145885562,0.972270790921701,2.999779881826699,405.3085909804894,6.796697523999726,0.12388248730922104,2.9981423455414147,0.0008017143052369685,0.006093898832254353,0.004751295882045346,0.1283530199444221,2.9981423455414147,0.005,0.0168,0.028,0.501126295239523,2.6360636063606364,2.5761021639941575,2.5848676789342724,4.584256616788148,6,1.5066295012806992,0.7497634906023608,0.19560978048902444,2.814157041756643,7.9986494597839135,7.5682666206091715
philox4x32_hybrid,philox4x32_hybrid_010,1124872387,-0.004961739586543998,-0.004961739586543998,0.001297657668812186,0.005846953984157569,0.9712718231971851,2.9999007996482385,407.9734862615135,6.79676030593725,0.1255955144390098,2.998320760662796,0.0013041114681304053,-0.013786730087678858,-0.0009899544744226315,0.12525823332649544,2.9983207606627955,0.0063,0.0248,0.0312,0.49912408028429606,2.4764476447644763,2.5739891641379002,2.584873347491818,4.584352768347527,6,1.4904605753465494,0.7351287579580149,0.1912095604780239,2.575166249139489,7.997699079631853,7.616416390096728
